(143270):14g8:[#]{04120609}      | Zooming in ... 
(AB5700):94gi:[+]{04400631}      | The fine hunting knife in your inventory will be used.
(000000):94gi:[O]{04400631}      | Ok, you have all the necessary equipment!
(000000):94gi:[Y]{04400631}      | You finished cutting the branches. They are lying beside you on the ground.
(000000):94gi:[I]{04400631}      | It's plain good roasted bream.
(008000):94gi:[=]{04400631}      | Burp! Your stomach is full.
(3C5A98):94gi:[:]{04400631}      | You finish eating some of that roasted bream.
(143270):94gi:[#]{04400631}      | Using: SURVIVAL
(143270):94gi:[#]{04400631}      | SURVIVAL OPTION: Build a fire
(000000):94gi:[Y]{04400631}      | You managed to make a fire.
(143270):94gi:[#]{04400631}      | Using: COOKERY
(143270):94gi:[#]{04400631}      | COOKERY OPTIONS: Roast
(147870):94gi:[?]{04400631}      | (1) You need raw meat or fish.
(AB5700):94gi:[+]{04400631}      | The 10 roaches in your inventory will be used.
(147870):94gi:[?]{04400631}      | (2) You need fire.
(000000):94gi:[O]{04400631}      | Ok, you have all the necessary equipment!
(008000):94gi:[=]{04400631}      | Ok, you leave 10 roasted roaches to cook and prepare.
(575757):94gi:[_]{04400631}      | This process should be complete shortly.
(143270):94gi:[#]{04400631}      | Things that are here:
(000000):94gi:[1]{04400631}      | 10 roasted roaches (being prepared)
(147870):94gi:[?]{04400631}      | (1) You need raw meat or fish.
(AB5700):94gi:[+]{04400631}      | The 3 perches in your inventory will be used.
(147870):94gi:[?]{04400631}      | (2) You need fire.
(000000):94gi:[O]{04400631}      | Ok, you have all the necessary equipment!
(3C5A98):94gj:[:]{04400631}      | You are feeling hot.
(008000):94gj:[=]{04400631}      | Ok, you leave 3 roasted perches to cook and prepare.
(575757):94gj:[_]{04400631}      | This process should be complete in half an hour.
(575757):94gj:[_]{04400631}      | The roasted roach will be ready shortly. You may not pick it up yet.
(575757):94gj:[_]{04400631}      | The roasted perch will be ready in half an hour. You may not pick it up yet.
(3C5A98):94gj:[:]{04400631}      | You drop the perch.
(143270):94gj:[#]{04400631}      | Things that are here:
(000000):94gj:[1]{04400631}      | 10 roasted roaches (being prepared)
(000000):94gj:[3]{04400631}      | 3 roasted perches (being prepared)
(143270):94gj:[#]{04400631}      | Using: WEATHERLORE
(3C5A98):94gj:[:]{04400631}      | You smell the air and look up to the sky predicting the weather...
(000000):94gj:[T]{04400631}      | The weather is warm , the sky is clear and there are no clouds.
(000000):94gj:[Y]{04400631}      | You are not very sure about this forecast but...
(000000):94gj:[Y]{04400631}      | You think the weather is getting warmer.
(000000):94gj:[Y]{04400631}      | You think it's not going to rain today.
(143270):94gj:[#]{04400631}      | You see a harsh de-haired elk-skin (being prepared) here.
(147870):94gj:[?]{04400631}      | Drink from the natural source?
(3C5A98):94gj:[:]{04400631}      | You drink some water.
(008000):94gj:[=]{04400631}      | Your thirst is extinguished.
(143270):94gj:[#]{04400631}      | Things that are here:
(000000):94gj:[1]{04400631}      | 10 roasted roaches (being prepared)
(000000):94gj:[3]{04400631}      | 3 roasted perches (being prepared)
(575757):94gj:[_]{04400631}      | The roasted roach will be ready shortly. You may not pick it up yet.
(575757):94gj:[_]{04400631}      | The roasted perch will be ready shortly. You may not pick it up yet.
(3C5A98):94gj:[:]{04400631}      | It smells like the roasted roach is ready.
(575757):94gj:[_]{04400631}      | The roasted perch will be ready shortly. You may not pick it up yet.
(3C5A98):94gj:[:]{04400631}      | You pick up the roasted roach.
(3C5A98):94gj:[:]{04400631}      | You pick up the 9 roasted roaches.
(575757):94gj:[_]{04400631}      | The roasted perch will be ready shortly. You may not pick it up yet.
(000000):94gj:[T]{04400631}      | The fire is about to burn out soon.
(3C5A98):94gj:[:]{04400631}      | It smells like the roasted perch is ready.
(000000):94gj:[T]{04400631}      | The fire is about to burn out soon.
(3C5A98):94gj:[:]{04400631}      | You pick up the 3 roasted perches.
(000000):94gj:[T]{04400631}      | The fire is about to burn out soon.
(A80000):94gj:[!]{04400631}      | There is nothing here to pick up.
(000000):94gj:[T]{04400631}      | The fire is about to burn out soon.
(000000):94gj:[I]{04400631}      | It's plain good roasted bream.
(008000):94gj:[=]{04400631}      | Burp! Your stomach is full.
(3C5A98):94gj:[:]{04400631}      | You finish eating the roasted bream.
(3C5A98):94gj:[:]{04400631}      | You lay down and fall asleep.
(143270):94gj:[#]{04400631}      | Zzzz... [HOLD ON]
(3C5A98):a4g1:[:]{04400631}      | You wake up.
(663333):a4g1:[&]{04400631}      | You get back on your feet.
(3C5A98):a4g2:[:]{04400631}      | You are feeling rather warm.
(143270):a4g2:[#]{04400631}      | You see a harsh de-haired elk-skin (being prepared) here.
(575757):a4g2:[_]{04400631}      | The de-haired elk-skin will be ready after 5 days. You may not pick it up yet.
(143270):a4g2:[#]{04400631}      | You see a rock here.
(143270):a4g2:[#]{04410631}      | You see a stone here.
(143270):a4g2:[#]{04410631}      | Dog can not reach you and will be left behind.
(147870):a4g2:[?]{04410631}      | Are you sure you want to exit?
(143270):a4g2:[#]{04410631}      | You see a stone here.
(143270):a4g2:[#]{04400631}      | Dog can not reach you and will be left behind.
(147870):a4g2:[?]{04400631}      | Are you sure you want to exit?
(143270):a4g2:[#]{04400631}      | Zooming out ... 
(143270):a4g2:[#]{04400631}      | Zooming in ... 
(000000):a4g2:[B]{04400631}      | Branches bend and curve above your head here in the majestic temple of the ageless forest as you take a closer look at this area.
(143270):a4g2:[#]{04400631}      | You see a rock here.
(000000):a4g2:[T]{04400631}      | The dog withdraws from your way.
(143270):a4g2:[#]{04400631}      | You see a perch here.
(AB5700):a4g2:[+]{04400631}      | Use this command also to unpack your pack animal or pick items from your companion.
(3C5A98):a4g2:[:]{04400631}      | You untie the dog.
(3C5A98):a4g2:[:]{04400631}      | You pick up the rope (dog leash).
(000000):a4g2:[T]{04400631}      | The dog withdraws from your way.
(143270):a4g2:[#]{04400631}      | You see a perch here.
(3C5A98):a4g2:[:]{04400631}      | You pick up the perch.
(3C5A98):a4g2:[:]{04400631}      | You drop the 9 spruce twigs.
(143270):a4g2:[#]{04400631}      | Zooming out ... 
(A80000):a4g2:[!]{0441062A}      | It's deep water there! You need to swim, or go by watercraft.
(143270):a4g2:[#]{0440062B}      | You see small dog (leashed) here.
(3C5A98):a4g3:[:]{0441062B}      | You are feeling rather warm.
(3C5A98):a4g4:[:]{042F0623}      | You feel comfortably warm.
(000000):a4g4:[T]{042C0622}      | The dog barks in hunger.
(3C5A98):a4g4:[:]{042D0621}      | You drop the perch.
(143270):a4g4:[#]{042D0621}      | Things that are here:
(000000):a4g4:[s]{042D0621}      | small dog (leashed)
(000000):a4g4:[p]{042D0621}      | perch
(3C5A98):a4g4:[:]{042D0621}      | You pick up the perch.
(143270):a4g4:[#]{042D0621}      | Zooming in ... 
(000000):a4g4:[B]{042D0621}      | Branches bend and curve above your head here in the majestic temple of the ageless forest as you take a closer look at this area.
(3C5A98):a4g4:[:]{042D0621}      | You drop the perch.
(000000):a4g4:[T]{042D0621}      | The dog eats perch.
(143270):a4g4:[#]{042D0621}      | Zooming out ... 
(143270):a4g4:[#]{042E0621}      | You see small dog (leashed) here.
(000000):a4g4:[T]{0432061D}      | That's bland.
(008000):a4g4:[=]{0432061D}      | Burp! Your stomach is full.
(3C5A98):a4g4:[:]{0432061D}      | You finish eating some of that roasted bream.
(3C5A98):a4g5:[:]{04340620}      | You feel chilly.
(663333):a4g5:[&]{042D0624}      | You are a bit thirsty.
(3C5A98):a4g6:[:]{04270619}      | You feel cold.
(3C5A98):a4g7:[:]{0427060C}      | You feel comfortably warm.
(143270):a4g7:[#]{042B05FE}      | You see small dog (leashed) here.
(3C5A98):a4g8:[:]{042D05FE}      | You are feeling rather warm.
(663333):a4g9:[&]{04440616}      | You are a bit hungry.
(143270):a4g9:[#]{04480617}      | You see small dog (leashed) here.
(663333):a4g9:[&]{04460617}      | You are a bit hungry.
(663333):a4g9:[&]{0437060B}      | You are a bit thirsty.
(A80000):a4g9:[!]{04360608}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):a4ga:[:]{04360607}      | You are feeling rather warm.
(147870):a4ga:[?]{04360607}      | Drink from the natural source?
(3C5A98):a4ga:[:]{04360607}      | You drink some water.
(008000):a4ga:[=]{04360607}      | Your thirst is extinguished.
(000000):a4ga:[T]{04360607}      | That's bland.
(3C5A98):a4ga:[:]{04360607}      | You finish eating the bland roasted bream.
(000000):a4ga:[I]{04360607}      | It's very tasty.
(008000):a4ga:[=]{04360607}      | Burp! Your stomach is full.
(3C5A98):a4ga:[:]{04360607}      | You finish eating some of that roasted pike.
(3C5A98):a4gb:[:]{042D05F2}      | You are feeling rather warm.
(A80000):a4gb:[!]{042D05EF}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):a4gb:[:]{042305EE}      | You feel a bit tired.
(143270):a4gb:[#]{042105E4}      | You see small dog (leashed) here.
(3C5A98):a4gc:[:]{042105E5}      | You are feeling rather warm.
(3C5A98):a4gc:[:]{041D05D4}      | You feel a bit tired.
(3C5A98):a4gd:[:]{041D05D0}      | You are feeling rather warm.
(3C5A98):a4gd:[:]{041D05D0}      | You feel a bit tired.
(3C5A98):a4gd:[:]{041305C4}      | You are getting tired.
(3C5A98):a4ge:[:]{041305C3}      | You are feeling rather warm.
(663333):a4ge:[&]{041605C2}      | You are a bit hungry.
(3C5A98):a4gf:[:]{041E05BF}      | You are feeling rather warm.
(663333):a4gf:[&]{041605B9}      | You are a bit hungry.
(143270):a4gf:[#]{041505B7}      | You see small dog (leashed) here.
(663333):a4gf:[&]{041E05B8}      | You are a bit thirsty.
(3C5A98):a4gg:[:]{042005B6}      | You are feeling rather warm.
(663333):a4gg:[&]{042505B5}      | You are a bit thirsty.
(A80000):a4gg:[!]{042505B4}      | It's deep water there! You need to swim, or go by watercraft.
(143270):a4gg:[#]{042505B5}      | You see small dog (leashed) here.
(663333):a4gg:[&]{042B05BA}      | You are a bit hungry.
(3C5A98):a4gh:[:]{042705B8}      | You are feeling rather warm.
(143270):a4gh:[#]{041C05B2}      | You see small dog (leashed) here.
(663333):a4gh:[&]{041905B5}      | You are a bit thirsty.
(3C5A98):a4gi:[:]{041705B5}      | You are feeling rather warm.
(663333):a4gi:[&]{041605B5}      | You are a bit hungry.
(A80000):a4gi:[!]{041505B5}      | It's deep water there! You need to swim, or go by watercraft.
(147870):a4gi:[?]{041505B5}      | Drink from the natural source?
(3C5A98):a4gi:[:]{041505B5}      | You drink some water.
(008000):a4gi:[=]{041505B5}      | Your thirst is extinguished.
(000000):a4gi:[I]{041505B5}      | It's very tasty.
(008000):a4gi:[=]{041505B5}      | Burp! Your stomach is full.
(3C5A98):a4gi:[:]{041505B5}      | You finish eating some of that roasted pike.
(3C5A98):a4gi:[:]{041505B5}      | You lay down and fall asleep.
(143270):a4gi:[#]{041505B5}      | Zzzz... [HOLD ON]
(3C5A98):b4g4:[:]{041505B5}      | You wake up.
(663333):b4g4:[&]{041505B5}      | You get back on your feet.
(3C5A98):b4g5:[:]{041505B5}      | You are feeling rather warm.
(A80000):b4g5:[!]{041505B5}      | You feel unity with the world.
(A80000):b4g5:[!]{041505B5}      | It's deep water there! You need to swim, or go by watercraft.
(143270):b4g5:[#]{041605B5}      | You see small dog (leashed) here.
(143270):b4g5:[#]{041505B6}      | You see small dog (leashed) here.
(000000):b4g5:[T]{041305B8}      | The dog barks in hunger.
(143270):b4g5:[#]{041305B8}      | Zooming in ... 
(000000):b4g5:[T]{041305B8}      | There is pine mire here and you take a closer look at this area.
(3C5A98):b4g5:[:]{041305B8}      | You drop the roasted roach.
(3C5A98):b4g5:[:]{041305B8}      | You drop the 2 roasted roaches.
(000000):b4g5:[T]{041305B8}      | The dog eats roasted roach.
(143270):b4g5:[#]{041305B8}      | Zooming out ... 
(3C5A98):b4g6:[:]{041505BA}      | You are feeling rather warm.
(663333):b4g6:[&]{042005B6}      | You are a bit hungry.
(3C5A98):b4g7:[:]{042705B6}      | You are feeling rather warm.
(663333):b4g7:[&]{042805BB}      | You are a bit thirsty.
(3C5A98):b4g8:[:]{042305C9}      | You are feeling rather warm.
(A80000):b4g9:[!]{041405CA}      | It's deep water there! You need to swim, or go by watercraft.
(663333):b4g9:[&]{041305CB}      | You are a bit hungry.
(663333):b4g9:[&]{041705CB}      | You are a bit thirsty.
(3C5A98):b4ga:[:]{041905CD}      | You feel comfortably warm.
(663333):b4ga:[&]{042005D4}      | You are a bit thirsty.
(663333):b4ga:[&]{041E05DD}      | You are a bit hungry.
(3C5A98):b4gb:[:]{041305DF}      | You feel chilly.
(663333):b4gb:[&]{040F05DF}      | You are a bit hungry.
(663333):b4gb:[&]{040705D2}      | You are getting hungry.
(3C5A98):b4gc:[:]{040805D0}      | You feel cold.
(A80000):b4gc:[!]{040B05CF}      | It's deep water there! You need to swim, or go by watercraft.
(143270):b4gc:[#]{040A05CF}      | You see small dog (leashed) here.
(663333):b4gc:[&]{040705CF}      | You are a bit thirsty.
(A80000):b4gc:[!]{040405CE}      | It's deep water there! You need to swim, or go by watercraft.
(663333):b4gc:[&]{040B05C8}      | You are getting hungry.
(3C5A98):b4gd:[:]{040905C3}      | You feel cold.
(143270):b4gd:[#]{040605C1}      | You see small dog (leashed) here.
(663333):b4gd:[&]{040705BE}      | You are thirsty.
(A80000):b4gd:[!]{03F705AE}      | It's deep water there! You need to swim, or go by watercraft.
(143270):b4gd:[#]{03F805AF}      | You see small dog (leashed) here.
(3C5A98):b4ge:[:]{03F805B2}      | You feel cold.
(A80000):b4ge:[!]{03F805B2}      | Your hand feels cold.
(000000):b4ge:[I]{03F605BA}      | It's very tasty.
(008000):b4ge:[=]{03F605BA}      | Burp! Your stomach is full.
(3C5A98):b4ge:[:]{03F605BA}      | You finish eating some of that roasted pike.
(147870):b4ge:[?]{03FB05BD}      | Drink from the natural source?
(3C5A98):b4ge:[:]{03FB05BD}      | You gulp that water.
(008000):b4ge:[=]{03FB05BD}      | Your thirst is extinguished.
(A80000):b4ge:[!]{03FB05BC}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):b4gf:[:]{03FC05BB}      | You feel bitterly cold.
(A80000):b4gf:[!]{03FC05BB}      | Your hand feels cold.
(A80000):b4gf:[!]{03FC05B8}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):b4gg:[:]{03EB05B8}      | You feel bitterly cold.
(A80000):b4gg:[!]{03EB05B8}      | Your hand feels cold.
(3C5A98):b4gg:[:]{03EB05B8}      | You feel a bit tired.
(3C5A98):b4gh:[:]{03F705C5}      | You feel bitterly cold.
(A80000):b4gh:[!]{03F705C5}      | Your hand feels cold.
(3C5A98):b4gh:[:]{03F505C0}      | You are getting tired.
(663333):b4gh:[&]{03FA05C7}      | You are a bit hungry.
(3C5A98):b4gi:[:]{03F805C9}      | You feel bitterly cold.
(A80000):b4gi:[!]{03F805C9}      | Your hand feels cold.
(3C5A98):b4gi:[:]{03F805C9}      | You are getting tired.
(663333):b4gi:[&]{03EB05CA}      | You are a bit hungry.
(3C5A98):b4gj:[:]{03E605C1}      | You feel bitterly cold.
(A80000):b4gj:[!]{03E605C1}      | Your hand feels cold.
(3C5A98):b4gj:[:]{03E505C0}      | You feel weary.
(663333):b4gj:[&]{03E505C0}      | You are getting hungry.
(3C5A98):b4gj:[:]{03E605B9}      | You feel weary.
(3C5A98):b4gk:[:]{03DD05C2}      | You feel bitterly cold.
(A80000):b4gk:[!]{03DD05C2}      | Your hand feels cold.
(3C5A98):b4gk:[:]{03DD05C2}      | You feel weary.
(A80000):b4gk:[!]{03D705C4}      | You need to sleep! You can't stay awake much longer.
(143270):b4gk:[#]{03D705C3}      | You see small dog (leashed) here.
(A80000):b4gk:[!]{03D705C4}      | It's deep water there! You need to swim, or go by watercraft.
(3C5A98):b4gl:[:]{03D505C5}      | You feel bitterly cold.
(A80000):b4gl:[!]{03D505C5}      | Your hand feels cold.
(3C5A98):b4gl:[:]{03D205C5}      | You are sleepy and extremely tired.
(000000):b4gl:[I]{03D205C5}      | It's very tasty.
(3C5A98):b4gl:[:]{03D205C5}      | You finish eating the tasty roasted pike.
(000000):b4gl:[I]{03D205C5}      | It's plain good roasted roach.
(3C5A98):b4gl:[:]{03D205C5}      | You finish eating the roasted roach.
(000000):b4gl:[I]{03D205C5}      | It's plain good roasted roach.
(008000):b4gl:[=]{03D205C5}      | Burp! Your stomach is full.
(3C5A98):b4gl:[:]{03D205C5}      | You finish eating some of that roasted roach.
(3C5A98):b4gl:[:]{03CC05BF}      | You lay down and fall asleep.
(143270):b4gl:[#]{03CC05BF}      | Zzzz... [HOLD ON]
(000000):b4gm:[B]{03CC05BF}      | Brr! You wake up shivering from the coldness.
(3C5A98):b4gm:[:]{03CC05BF}      | You lay down and fall asleep.
(143270):b4gm:[#]{03CC05BF}      | Zzzz... [HOLD ON]
(000000):b4gn:[B]{03CC05BF}      | Brr! You wake up shivering from the coldness.
(663333):b4gn:[&]{03CC05BF}      | You get back on your feet.
(3C5A98):c4g0:[:]{03C405BA}      | You feel bitterly cold.
(A80000):c4g0:[!]{03C405BA}      | Your hand feels cold.
(663333):c4g0:[&]{03C605C9}      | You are a bit thirsty.
(3C5A98):c4g1:[:]{03C005CA}      | You feel comfortably warm.
(A80000):c4g1:[!@]{03C105CB}     | You encounter an animal. You think it's a Polecat...
(3C5A98):c4g1:[:]{03C105CB}      | You can zoom to the local terrain map and look for it.
(147870):c4g1:[?]{03C105CB}      | Zoom in the local terrain map?
(000000):c4g1:[O]{03C105CB}      | Ok, you continue on your way.
(3C5A98):c4g1:[:]{03C305CD}      | You are sleepy and extremely tired.
(3C5A98):c4g2:[:]{03D305D4}      | You feel chilly.
(A80000):c4g2:[!]{03E105D8}      | You need to sleep! You can't stay awake much longer.
(663333):c4g2:[&]{03E105D8}      | You are a bit hungry.
(3C5A98):c4g3:[:]{03E305D8}      | You feel cold.
(3C5A98):c4g3:[:]{03E305D8}      | You are too tired to stay on your feet.
(3C5A98):c4g3:[:]{03E305D8}      | You crawl.
(663333):c4g3:[&]{03EF05D8}      | You are getting hungry.
(663333):c4g3:[&]{03EF05D8}      | You are a bit thirsty.
(3C5A98):c4g3:[:]{03EF05D8}      | You crawl.
(663333):c4g3:[&]{03F305D8}      | You are getting hungry.
(3C5A98):c4g3:[:]{03F305D8}      | You crawl.
(3C5A98):c4g4:[:]{03F405D8}      | You feel cold.
(3C5A98):c4g4:[:]{03F405D8}      | You lay down and fall asleep.
(143270):c4g4:[#]{03F405D8}      | Zzzz... [HOLD ON]
(000000):c4g5:[B]{03F405D8}      | Brr! You wake up shivering from the coldness.
(3C5A98):c4g5:[:]{03F405D8}      | You crawl.
(3C5A98):c4g5:[:]{03F605D8}      | You are very sleepy and ready to drop.
(3C5A98):c4g5:[:]{03F605D8}      | You crawl.
(663333):c4g5:[&]{03F705D8}      | You get back on your feet.
(3C5A98):c4g5:[:]{03FA05DA}      | You are too tired to stay on your feet.
(663333):c4g5:[&]{03FA05DA}      | You are getting hungry.
(663333):c4g5:[&]{03FA05DA}      | You are thirsty.
(3C5A98):c4g5:[:]{03FA05DA}      | You crawl.
(663333):c4g5:[&]{03FE05E1}      | You get back on your feet.
(000000):c4g5:[Y]{03FE05E1}      | You hear a creature barking in hunger in the north.
(3C5A98):c4g5:[:]{03FE05E1}      | You are too tired to stay on your feet.
(3C5A98):c4g5:[:]{03FE05E1}      | You crawl.
(3C5A98):c4g6:[:]{03FE05E2}      | You feel bitterly cold.
(A80000):c4g6:[!]{03FE05E2}      | Your hand feels cold.
(143270):c4g6:[#]{03FE05E2}      | Zooming in ... 
(000000):c4g6:[T]{03FE05E2}      | There is pine mire here and you take a closer look at this area.
(000000):c4g6:[Y]{03FE05E2}      | You hear black grouse cooing in the south.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(000000):c4g6:[Y]{03FE05E2}      | You hear mallard calling in the north.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(000000):c4g6:[Y]{03FE05E2}      | You hear a creature barking in hunger in the east.
(000000):c4g6:[Y]{03FE05E2}      | You hear mallard calling in the north.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4g6:[I]{03FE05E2}      | It's plain good roasted roach.
(008000):c4g6:[=]{03FE05E2}      | Burp! Your stomach is full.
(3C5A98):c4g6:[:]{03FE05E2}      | You finish eating some of that roasted roach.
(663333):c4g6:[&]{03FE05E2}      | You get back on your feet.
(3C5A98):c4g6:[:]{03FE05E2}      | You are too tired to stay on your feet.
(3C5A98):c4g6:[:]{03FE05E2}      | You drop the roasted perch.
(3C5A98):c4g6:[:]{03FE05E2}      | You crawl.
(000000):c4g6:[T]{03FE05E2}      | The dog eats roasted perch.
(3C5A98):c4g6:[:]{03FE05E2}      | You crawl.
(000000):c4g6:[T]{03FE05E2}      | The dog withdraws from your way.
(3C5A98):c4g6:[:]{03FE05E2}      | You crawl.
(3C5A98):c4g6:[:]{03FE05E2}      | You lay down and fall asleep.
(143270):c4g6:[#]{03FE05E2}      | Zzzz... [HOLD ON]
(000000):c4g7:[B]{03FE05E2}      | Brr! You wake up shivering from the coldness.
(663333):c4g7:[&]{03FE05E2}      | You get back on your feet.
(3C5A98):c4g7:[:]{03FE05E2}      | The water here is shallow enough to wade.
(147870):c4g7:[?]{03FE05E2}      | Step into water?
(3C5A98):c4g7:[:]{03FE05E2}      | You get out of the water.
(000000):c4g7:[T]{03FE05E2}      | The dog withdraws from your way.
(147870):c4g7:[?]{03FE05E2}      | Drink from the natural source?
(3C5A98):c4g7:[:]{03FE05E2}      | You gulp that water.
(008000):c4g7:[=]{03FE05E2}      | Your thirst is extinguished.
(143270):c4g7:[#]{03FE05E2}      | Using: SURVIVAL
(143270):c4g7:[#]{03FE05E2}      | SURVIVAL OPTION: Build a fire
(A80000):c4g7:[!]{03FE05E2}      | Drop, throw or move some firewood over there first!
(143270):c4g7:[#]{03FE05E2}      | Using: SURVIVAL
(143270):c4g7:[#]{03FE05E2}      | SURVIVAL OPTION: Cut branches/twigs from a tree
(147870):c4g7:[?]{03FE05E2}      | (1) You need cutting weapon or by hand.
(AB5700):c4g7:[+]{03FE05E2}      | The fine hunting knife in your inventory will be used.
(000000):c4g7:[O]{03FE05E2}      | Ok, you have all the necessary equipment!
(000000):c4g7:[Y]{03FE05E2}      | You hear black grouse cooing in the south-west.
(000000):c4g7:[Y]{03FE05E2}      | You hear black grouse cooing in the west.
(000000):c4g7:[Y]{03FE05E2}      | You finished cutting the branches. They are lying beside you on the ground.
(147870):c4g7:[?]{03FE05E2}      | (1) You need cutting weapon or by hand.
(AB5700):c4g7:[+]{03FE05E2}      | The fine hunting knife in your inventory will be used.
(000000):c4g7:[O]{03FE05E2}      | Ok, you have all the necessary equipment!
(000000):c4g7:[Y]{03FE05E2}      | You finished cutting the branches. They are lying beside you on the ground.
(3C5A98):c4g7:[:]{03FE05E2}      | You are too tired to stay on your feet.
(3C5A98):c4g7:[:]{03FE05E2}      | You lay down and fall asleep.
(143270):c4g7:[#]{03FE05E2}      | Zzzz... [HOLD ON]
(000000):c4g8:[B]{03FE05E2}      | Brr! You wake up shivering from the coldness.
(147870):c4g8:[?]{03FE05E2}      | (1) You need cutting weapon or by hand.
(AB5700):c4g8:[+]{03FE05E2}      | The fine hunting knife in your inventory will be used.
(000000):c4g8:[O]{03FE05E2}      | Ok, you have all the necessary equipment!
(000000):c4g8:[Y]{03FE05E2}      | You hear black grouse cooing in the west.
(000000):c4g8:[Y]{03FE05E2}      | You finished cutting the branches. They are lying beside you on the ground.
(3C5A98):c4g8:[:]{03FE05E2}      | You crawl.
(143270):c4g8:[#]{03FE05E2}      | Using: SURVIVAL
(143270):c4g8:[#]{03FE05E2}      | SURVIVAL OPTION: Build a fire
(000000):c4g8:[Y]{03FE05E2}      | You hear mallard calling in the north-east.
(000000):c4g8:[Y]{03FE05E2}      | You managed to make a fire.
(3C5A98):c4g8:[:]{03FE05E2}      | You lay down and fall asleep.
(143270):c4g8:[#]{03FE05E2}      | Zzzz... [HOLD ON]
(A80000):c4gh:[!]{03FE05E2}      | You wake up to the rain.
(663333):c4gh:[&]{03FE05E2}      | You get back on your feet.
(663333):c4gh:[&]{03FE05E2}      | You are a bit hungry.
(000000):c4gh:[I]{03FE05E2}      | It's plain good roasted roach.
(3C5A98):c4gh:[:]{03FE05E2}      | You finish eating the roasted roach.
(000000):c4gh:[I]{03FE05E2}      | It's plain good roasted perch.
(000000):c4gh:[Y]{03FE05E2}      | You hear mallard calling in the north-east.
(008000):c4gh:[=]{03FE05E2}      | Burp! Your stomach is full.
(3C5A98):c4gh:[:]{03FE05E2}      | You finish eating the roasted perch.
(3C5A98):c4gh:[:]{03FE05E2}      | You drop the roasted perch.
(000000):c4gh:[Y]{03FE05E2}      | You hear mallard calling in the north-west.
(000000):c4gh:[T]{03FE05E2}      | The dog withdraws from your way.
(143270):c4gh:[#]{03FE05E2}      | You see a roasted perch here.
(143270):c4gh:[#]{03FE05E2}      | You see a burnt-out fire here.
(3C5A98):c4gi:[:]{03FE05E2}      | You feel warm.
(663333):c4gi:[&]{03FE05E2}      | You are a bit thirsty.
(AB5700):c4gi:[+]{03FE05E2}      | Use this command also to unpack your pack animal or pick items from your companion.
(143270):c4gi:[#]{03FE05E2}      | You start unpacking items from the dog.
(A80000):c4gi:[!]{03FE05E2}      | The dog is not carrying anything!
(3C5A98):c4gi:[:]{03FE05E2}      | You pick up the roasted perch.
(143270):c4gi:[#]{03FE05E2}      | Zooming out ... 
(3C5A98):c4gj:[:]{040905F1}      | You are feeling rather warm.
(663333):c4gj:[&]{04120600}      | You are a bit thirsty.
(3C5A98):c4gk:[:]{04180606}      | You are feeling rather warm.
(663333):c4gk:[&]{04190607}      | You are a bit thirsty.
(3C5A98):c4gl:[:]{04270615}      | The rain ends.
(3C5A98):c4gl:[:]{04270615}      | You are feeling rather warm.
(143270):c4gm:[#]{04400631}      | There is a shelter at this location.
(143270):c4gm:[#]{04400631}      | You see a branch here.
(663333):c4gm:[&]{04400631}      | You are a bit thirsty.
(143270):c4gm:[#]{04400631}      | Zooming in ... 
(000000):c4gm:[B]{04400631}      | By this lake, where the surface of the water reflects images of both you and the skies above, you take a closer look at this area.
(143270):c4gm:[#]{04400631}      | LEASHING OPTIONS: Tie to a tree
(3C5A98):c4gm:[:]{04400631}      | The dog is now tied to the spruce.
(143270):c4gm:[#]{04400631}      | You see a harsh de-haired elk-skin (being prepared) here.
(575757):c4gm:[_]{04400631}      | The de-haired elk-skin will be ready after 2 days. You may not pick it up yet.
(000000):c4gm:[I]{04400631}      | It's plain good roasted perch.
(000000):c4gm:[Y]{04400631}      | You hear a creature barking in hunger in the south-west.
(3C5A98):c4gm:[:]{04400631}      | You finish eating the roasted perch.
(3C5A98):c4gm:[:]{04400631}      | The water here is shallow enough to wade.
(147870):c4gm:[?]{04400631}      | Step into water?
(147870):c4gm:[?]{04400630}      | Drink from the natural source?
(3C5A98):c4gm:[:]{04400630}      | You drink some water.
(008000):c4gm:[=]{04400630}      | Your thirst is extinguished.
(663333):c4gm:[&]{04400630}      | You sit down, spit in the water and start to angle, dreaming of a huge catch.
(3C5A98):c4gn:[:]{04400630}      | You are feeling rather warm.
(000000):d4g0:[Y]{04400630}      | You didn't manage to catch any fish.
